"","nivel_territorial_codigo","nivel_territorial","unidade_de_medida_codigo","unidade_de_medida","valor","unidade_da_federacao_codigo","unidade_da_federacao","ano_codigo","ano","variavel_codigo","variavel"
"1","3","Unidade da Federação","24","Cabeças",1017127,"11","Rondônia","2005",2005,"107","Vacas ordenhadas"
"2","3","Unidade da Federação","24","Cabeças",151493,"12","Acre","2005",2005,"107","Vacas ordenhadas"
"3","3","Unidade da Federação","24","Cabeças",77583,"13","Amazonas","2005",2005,"107","Vacas ordenhadas"
"4","3","Unidade da Federação","24","Cabeças",18438,"14","Roraima","2005",2005,"107","Vacas ordenhadas"
"5","3","Unidade da Federação","24","Cabeças",1174536,"15","Pará","2005",2005,"107","Vacas ordenhadas"
"6","3","Unidade da Federação","24","Cabeças",6591,"16","Amapá","2005",2005,"107","Vacas ordenhadas"
"7","3","Unidade da Federação","24","Cabeças",470338,"17","Tocantins","2005",2005,"107","Vacas ordenhadas"
"8","3","Unidade da Federação","24","Cabeças",504772,"21","Maranhão","2005",2005,"107","Vacas ordenhadas"
"9","3","Unidade da Federação","24","Cabeças",524982,"51","Mato Grosso","2005",2005,"107","Vacas ordenhadas"
"10","3","Unidade da Federação","24","Cabeças",947401,"11","Rondônia","2006",2006,"107","Vacas ordenhadas"
"11","3","Unidade da Federação","24","Cabeças",162175,"12","Acre","2006",2006,"107","Vacas ordenhadas"
"12","3","Unidade da Federação","24","Cabeças",80231,"13","Amazonas","2006",2006,"107","Vacas ordenhadas"
"13","3","Unidade da Federação","24","Cabeças",18743,"14","Roraima","2006",2006,"107","Vacas ordenhadas"
"14","3","Unidade da Federação","24","Cabeças",1161443,"15","Pará","2006",2006,"107","Vacas ordenhadas"
"15","3","Unidade da Federação","24","Cabeças",7599,"16","Amapá","2006",2006,"107","Vacas ordenhadas"
"16","3","Unidade da Federação","24","Cabeças",467301,"17","Tocantins","2006",2006,"107","Vacas ordenhadas"
"17","3","Unidade da Federação","24","Cabeças",522829,"21","Maranhão","2006",2006,"107","Vacas ordenhadas"
"18","3","Unidade da Federação","24","Cabeças",519178,"51","Mato Grosso","2006",2006,"107","Vacas ordenhadas"
"19","3","Unidade da Federação","24","Cabeças",992121,"11","Rondônia","2007",2007,"107","Vacas ordenhadas"
